,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
338981,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,59850.75356,,,General Fund,
294276,Professional Salaries,Career and Technology,,T-HS CATE INN,,General,School ,1,Instruction,,,52514.7362,,,General Fund,
332901,Extra Duty/Signing Bonus Pay,Undistributed,,MS STUDENT COUN,,General,School ,,Cocurricular & Extra Curricular Activities,,,1599.280612,,,General Fund,
313901,Extra Duty/Signing Bonus Pay,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,4051.600035,,,General Fund,
414832,Extra Duty/Signing Bonus Pay,Athletics and Related,,"AC,JR VAR VOLBL",,General,School ,,Cocurricular & Extra Curricular Activities,,,4533.194154,,,Athletics,
331010,Extra Duty/Overtime,Undistributed,,,,General,School ,,"Guidance, Counseling and Evaluation Services",,,-0.08,,,General Fund,
56473,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,52739.46087,,,General Fund,
101623,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,DROPOUT INT SPE,,General,School ,1,Social Work Services,,,46853.00018,,,Title I- Part A,
381193,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,0.67,Instruction,,,41743.4273,,,General Fund,
399550,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,1,Instruction,,,69055.71489,,,General Fund,
235198,Professional Salaries,Basic Educational Services,,T-HS ECONOMICS,,General,School ,0.8,Instruction,,,43091.76345,,,General Fund,
449661,Employee Allowance,Special Education,,TRAVEL,,General,ABD,,Instruction,,,2152.226767,,,General Fund,
28936,Professional Salaries,Basic Educational Services,, READING,,General,School ,1,Instruction,,,68627.56323,,,General Fund,
140058,Substitute Teachers,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,10653.128,,,Title I- Part A,
70110,Professional Salaries,Basic Educational Services,,T-EL KIN,,General,School ,1,Instruction,,,52852.82367,,,General Fund,
296710,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1,School Leadership,,,100236.0328,,,General Fund,
369119,General Supplies,Basic Educational Services,,,,Math,School ,,Instruction,,,1500.03,,,General Fund,
153590,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,67704.82678,,,General Fund,
94688,Extra Duty/Signing Bonus Pay,Athletics and Related,,"FR COACH, TRACK",,General,School ,,Cocurricular & Extra Curricular Activities,,,3359.889156,,,Athletics,
401652,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,0.83,Instruction,,,45784.01941,,,General Fund,
264147,Professional Salaries,Special Education,,T-MS/SE,,General,School ,1,Instruction,,,62680.89853,,,IDEA-B Formula,
29266,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, SOFTBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,3358.646737,,,Athletics,
343533,Professional Salaries,,,Instructional Support Coordinator,,,Curriculum and Instruction ,1,,,,76902.14897,,,General Fund,
250436,Professional Salaries,,,Teacher - ESL Kindergarten,,,School ,1,,,,55691.86474,,,General Fund,
295100,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1,Instruction,,,56902.80313,,,General Fund,
285204,General Supplies,Special Education,,,,General,School ,,Instruction,,,3673.69,,,IDEA-B Preschool,
428656,Consulting Services,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,0.08,,,General Fund,
120454,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,1,Instruction,,,65679.65373,,,General Fund,
57203,,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,0.64,,, Century Community Learning,
336647,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,1824.67,,,General Fund,
153953,Salaries for Support Personnel,Accelerated Education,,HIGH DOSE TUTOR,,Support NI-AU (Needs Improvement-Academically Unacceptable),School ,1,Instruction,,,35829.74382,,,General Fund,
266235,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,200.53,,,Title I- Part A,
445905,General Supplies,Athletics and Related,,,,General,School ,,Cocurricular & Extra Curricular Activities,,,13999.61,,,Athletics,
210946,Extra Duty/Signing Bonus Pay,Undistributed,,FTO DIRECTOR,,General,School ,,Cocurricular & Extra Curricular Activities,,,1599.500612,,,General Fund,
270288,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,0.5,Student Transportation,,,12859.51466,,,General Fund,
222453,Professional Salaries,Special Education,,T-HS/SE ENGLISH,,General,School ,0.67,Instruction,,,40838.77249,,,General Fund,
413734,Professional Salaries,Basic Educational Services,,T-HS ORCHESTRA,,Orchestra,School ,0.5,Instruction,,,29588.24263,,,General Fund,
40548,Professional Salaries,,,Teacher - Special Ed Bilingual Inclusion/Resource,,,School ,1,,,,55692.94474,,,General Fund,
203324,Copier Rental,Nondisciplinary AEP-Basic Services,,,,General,Independence,,Instruction,,,18313.97,,,General Fund,
40253,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.67,Instruction,,,35411.19356,,,General Fund,
312605,Professional Salaries,Basic Educational Services,, P.E.,,General,School ,1,Instruction,,,62978.60901,,,General Fund,
200068,Salaries for Support Personnel,Undistributed,,M/V MECH III,,General,Transportation Office,1,Student Transportation,,,48793.09707,,,General Fund,
99036,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,1955.57,,,General Fund,
240601,Professional Salaries,Bilingual Education,,T-EL 5TH BIL,,General,School ,1,Instruction,,,52514.6362,,,General Fund,
236235,Part-Time Hourly,Undistributed,,TEMP/HOURLY WKR,,General,English,0.49,Curriculum & Instructional Staff Development,,,52200.58,,,General Fund,
322677,Extra Duty/Signing Bonus Pay,Basic Educational Services,, MATH,,Cycle  (used for grants),School ,0.5,Instruction,,,30629.18789,,,Student Activity Account,
444753,Salaries for Support Personnel,Undistributed,,A/C MECH III,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,59334.77268,,,General Fund,
52325,Professional Salaries,Basic Educational Services,,T-HS ART,,General,School ,1,Instruction,,,54202.35934,,,General Fund,
56581,Substitute Teachers,Basic Educational Services,,,,General,School ,,Instruction,,,40088.96232,,,General Fund,
338342,Professional Salaries,Accelerated Education,,MENTOR TCHR,,General,School ,1,Curriculum & Instructional Staff Development,,,57997.57138,,,Teacher Incentive Grant (TIF) Effective  ,
447008,USDA Donated Commodities,Undistributed,,,,General,School ,,Food Services,,,5919.75,,,Nat'l Schl Breakfast & Lunch Prog.,
259445,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.455057,,,Athletics,
429120,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,School ,1,Instruction,,,52739.74087,,,General Fund,
106488,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,52514.5662,,,General Fund,
260432,Gas & Other Fuels,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,7795.11,,,General Fund,
410320,Salaries for Support Personnel,Undistributed,,ALARM TECH II,,General,District Police,1,Security & Monitoring Servicess,,,56794.9606,,,General Fund,
436347,Salaries for Support Personnel,Accelerated Education,,DROPOUT INT SPE,,Drop Out Initiative,School ,1,Social Work Services,,,51223.13859,,,General Fund,
317036,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,1645.38,,,General Fund,
130166,Professional Salaries,Undistributed,,EX DIR- S F C E,,General,"School, Family and Community Education",1,Community Services,,,136324.4996,,,General Fund,
81889,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,English as Second Language,Summer School,,Curriculum & Instructional Staff Development,,,6553.660707,,,General Fund,
237075,General Supplies,Basic Educational Services,,,,English as a Second Language,School ,,Instruction,,,399.94,,,General Fund,
435957,Salaries for Support Personnel,Undistributed,,PUBLIC REL SPEC,,General,Office of Planning and Community Relations,1,General Administration,,,50127.79667,,,General Fund,
186405,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1706.03,,,Nat'l Schl Breakfast & Lunch Prog.,
167254,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,30371.88613,,,General Fund,
390622,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,55552.94746,,,General Fund,
16950,Professional Salaries,Special Education,,T-EL/SE,,General,School ,1,Instruction,,,53189.33357,,,General Fund,
20504,Professional Salaries,Basic Educational Services,,T-EL SPANISH,,General,School ,1,Instruction,,,52851.46367,,,General Fund,
415046,General Supplies,Basic Educational Services,,,,Family Consumer Science,School ,,Instruction,,,1471.76,,,General Fund,
348556,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,29963.3533,,,General Fund,
177791,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,0.5,Instruction,,,14667.88632,,,General Fund,
399847,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,-0.93,,,Title I- Part A,
122628,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.807677,,,General Fund,
449418,Professional Salaries,Accelerated Education,,T-EL LIT COACH,,Reading Literacy,School ,1,Instruction,,,70405.90057,,,General Fund,
18867,Reading Materials including Library Books,Basic Educational Services,,,,Culinary Arts,School ,,Instruction,,,-0.5,,,General Fund,
352156,Software,Accelerated Education,,,,General,State/Federal Compliance & Accountability,,Instructional Leadership,,,1226.76,,,Title I- Part A,
357469,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2184.890599,,,General Fund,
134166,Professional Salaries,Accelerated Education,,SR RSRCH ASSOC,,Cycle  (used for grants),Office of Program Evaluation,0.5,"Guidance, Counseling and Evaluation Services",,,52988.73611,,,Safe School/Healthy Students Grant - effective ,
326233,General Supplies,Athletics and Related,,,,Girls Cross Country,School ,,Cocurricular & Extra Curricular Activities,,,200.74,,,Athletics,
356821,Student Meals/Room/Other,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,600.29,,,Title I- Part A,
204088,Employee Allowance,Accelerated Education,,TRAVEL,,Drop Out Initiative,School ,,Social Work Services,,,2153.286767,,,General Fund,
449222,Professional Salaries,Basic Educational Services,,T-HS BUSINESS,,General,School ,1,Instruction,,,57304.73859,,,General Fund,
390660,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.5,Instruction,,,26425.92683,,,General Fund,
233283,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,LIBRARY ASST,,General,School ,1,Instructional Resource & Media Services,,,43190.43368,,,Title I- Part A,
325611,Professional Salaries,Special Education,,T-EL/SE EC BIL,,General,School ,1,Instruction,,,52740.07087,,,General Fund,
197346,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, WRESTLING",,General,School ,,Cocurricular & Extra Curricular Activities,,,6719.033474,,,Athletics,
6951,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,ELEM ASST PRIN,,General,School ,0.5,School Leadership,,,35095.4567,,,Title I- Part A,
143633,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,52515.5562,,,General Fund,
234199,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,200.12,,,Title I- Part A,
181753,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,-0.65,,,General Fund,
97529,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,2215.07,,,General Fund,
379826,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1,School Leadership,,,100235.2128,,,General Fund,
321163,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,0.83,Instruction,,,61329.28069,,,General Fund,
153213,Substitute Teachers,Special Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.63,,,General Fund,
311058,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,707.2671563,,,General Fund,
155406,Maint: Vehicles,Undistributed,,,,General,Service Center for Vehicles,,Plant Maintenance & Operations,,,17884.8,,,General Fund,
7198,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,53662.13489,,,General Fund,
423089,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,School ,1,Instruction,,,58253.69217,,,General Fund,
231722,Extra Duty/Signing Bonus Pay,Athletics and Related,,"ASST C, FOOTBLL",,General,School ,,Cocurricular & Extra Curricular Activities,,,1207.881016,,,Athletics,
26880,Salaries for Support Personnel,Undistributed,,F/S MGR II,,General,School ,1,Food Services,,,43237.58314,,,Nat'l Schl Breakfast & Lunch Prog.,
258329,Miscellaneous Contracted Srvcs,Accelerated Education,,,,Support NI-AU (Needs Improvement-Academically Unacceptable),School ,,Instruction,,,180400.28,,,General Fund,
258699,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.75,Food Services,,,20643.73482,,,Nat'l Schl Breakfast & Lunch Prog.,
230297,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,School ,,School Leadership,,,2184.906902,,,General Fund,
123648,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,4999.67,,,Title I- Part A,
335052,Reading Materials including Library Books,Undistributed,,,,Library Support,Library Media Center,,Instructional Resource & Media Services,,,71517.91,,,General Fund,
132064,Professional Salaries,Basic Educational Services,,T-EL 3RD,,General,School ,1,Instruction,,,52852.36367,,,General Fund,
374495,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,1424.17,,,Title I- Part A,
24391,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,67029.58184,,,General Fund,
26469,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,999.92,,,General Fund,
105503,Employee Travel  (including In-District and Out-of-District),Gifted and Talented,,,,General,Gifted and Talented,,Curriculum & Instructional Staff Development,,,35414.21,,,General Fund,
353513,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,2527.04,,,Nat'l Schl Breakfast & Lunch Prog.,
320596,Reproduction Services,Undistributed,,,,General,Human Resources,,General Administration,,,45500.89,,,General Fund,
364524,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,1,Instruction,,,52852.26367,,,General Fund,
405904,Salaries for Support Personnel,Undistributed,,EXEC ASST III,,General,Legal Services,1,General Administration,,,59669.33203,,,General Fund,
334050,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,707.8771563,,,General Fund,
404173,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2185.440599,,,General Fund,
82060,Extra Duty/Signing Bonus Pay,Undistributed,,CHORAL DIRECTOR,,General,School ,,Cocurricular & Extra Curricular Activities,,,2871.608108,,,General Fund,
11509,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,52515.4062,,,General Fund,
310867,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29806.04689,,,General Fund,
178862,Salaries for Support Personnel,Undistributed,,FOOD PROD SP V,,General,School ,0.875,Food Services,,,24133.61495,,,Nat'l Schl Breakfast & Lunch Prog.,
8554,Professional Salaries,Special Education,,T-EL PK BIL,,General,Pre-K Center,1,Instruction,,,52514.2662,,,General Fund,
168848,Salaries for Support Personnel,Undistributed,,LIBRARY CLERK,,General,School ,1,Instructional Resource & Media Services,,,36596.90652,,,General Fund,
206226,Career Ladder,Bilingual Education,,CL ,,General,School ,,Instruction,,,3277.525353,,,General Fund,
138680,General Supplies,Special Education,,,,Special Education,School ,,School Leadership,,,401.36,,,General Fund,
325223,Professional Salaries,Basic Educational Services,, BAND,,Band,School ,1,Instruction,,,53549.58209,,,General Fund,
367602,General Supplies,Athletics and Related,,,,Girls Tennis,School ,,Cocurricular & Extra Curricular Activities,,,1300,,,Athletics,
68063,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,33454.69609,,,General Fund,
127218,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,966.23,,,Title I- Part A,
344571,Extra Duty/Overtime,Undistributed,,,,General,School ,,Food Services,,,1980.237,,,Nat'l Schl Breakfast & Lunch Prog.,
89608,Employee Allowance,Undistributed,,TRAVEL,,General,Social Studies,,Curriculum & Instructional Staff Development,,,2635.753304,,,General Fund,
40326,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,0.875,Student Transportation,,,24435.32041,,,General Fund,
333180,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.205057,,,Athletics,
191933,Custodial/Maint Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Plant Maintenance & Operations,,,0.29,,,General Fund,
170342,,Undistributed,,,,General,Assoc Superintendent-Area ,,Instructional Leadership,,,1950.57,,,General Fund,
392230,Professional Salaries,Undistributed,,ELEM ASST PRIN,,General,School ,0.5,School Leadership,,,33497.44802,,,General Fund,
417362,Professional Salaries,Special Education,,T-EL/SE LIFE SK,,General,School ,1,Instruction,,,60277.90522,,,General Fund,
210183,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,37723.96447,,,General Fund,
210234,Maint: Bldg & Grounds,Undistributed,,,,State Energy ,School ,,Plant Maintenance & Operations,,,10479.58,,,General Fund,
169372,Federal Revenue,,,,,General,,,Miscellaneous,,,374867.81,,,Title I- Part D ,
61988,Employee Allowance,Athletics and Related,,TRAVEL,,General,Athletics-External ,,Cocurricular & Extra Curricular Activities,,,1049.471713,,,Athletics,
54252,Employee Allowance,Accelerated Education,,,,Support NI-AU (Needs Improvement-Academically Unacceptable),School ,,Instruction,,,-0.32,,,General Fund,
378795,Field Trips,Undistributed,,,,Cheerleading,School ,,Cocurricular & Extra Curricular Activities,,,349.6,,,General Fund,
237832,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29018.27929,,,General Fund,
273904,Professional Salaries,Basic Educational Services,,,,General,Unallocated Cost Budget,,Instruction,,,2625389.75,,,General Fund,
146634,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1,Instruction,,,53189.65357,,,General Fund,
247275,Salaries for Support Personnel,Nondisciplinary AEP-Basic Services,,COMP LAB ASST,,General,Independence,1,Instruction,,,31873.05118,,,General Fund,
347996,Rental: All Others,Undistributed,,,,General,Budget,,General Administration,,,1291.83,,,General Fund,
365392,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,3999.56,,,Title I- Part A,
318476,Professional Salaries,Undistributed,,LIBRARIAN- MS,,General,School ,1,Instructional Resource & Media Services,,,69302.68153,,,General Fund,
232525,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,524.3508565,,,General Fund,
120526,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,1,Instruction,,,56903.05313,,,General Fund,
382746,Part-Time Hourly,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,28527.912,,, Century Community Learning,
112713,Employee Allowance,Undistributed,,,,General,Service Center for Vehicles,,Plant Maintenance & Operations,,,0.22,,,General Fund,
236271,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,School ,1,School Leadership,,,36657.85087,,,General Fund,
248177,Salaries for Support Personnel,Accelerated Education,,TCHR ASST- SP E,,Stud Support,School ,1,Instruction,,,30482.7182,,,General Fund,
425756,Salaries for Support Personnel,Undistributed,,CLERK IV- SCH,,General,School ,1,School Leadership,,,35160.43811,,,General Fund,
319329,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1,Instruction,,,54202.47934,,,General Fund,
318169,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1,Instruction,,,52852.16367,,,General Fund,
155275,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,BIL INST/CURR S,,General,School ,1,Instruction,,,56999.09912,,,Title I- Part A,
261366,Gas & Other Fuels,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,25984.45,,,General Fund,
248723,,Undistributed,,,,General,District Police,,Security & Monitoring Servicess,,,51729.94,,,General Fund,
359470,Maint: Vehicles,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Security & Monitoring Servicess,,,499.42,,,General Fund,
62174,Professional Salaries,Undistributed,,LIBRARIAN- ELEM,,General,School ,1,Instructional Resource & Media Services,,,57150.45221,,,General Fund,
132491,Gas & Other Fuels,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,3247.89,,,General Fund,
88893,Extra Duty/Overtime,Undistributed,,,,General,Chief Performance Officer,,"Guidance, Counseling and Evaluation Services",,,-0.77,,,General Fund,
97805,Student Meals/Room/Other,High School Allotment,,,,General,School ,,Instruction,,,6000.37,,,General Fund,
380064,Professional Salaries,Bilingual Education,,T-EL 3RD BIL,,General,School ,1,Instruction,,,52514.0162,,,General Fund,
342264,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,28896.38222,,,General Fund,
249446,Employee Travel  (including In-District and Out-of-District),High School Allotment,,,,General,School ,,Curriculum & Instructional Staff Development,,,9998.97,,,General Fund,
300801,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,54450.16842,,,General Fund,
268592,Salaries for Support Personnel,Undistributed,,CHILD CARE WKR,,Child Care Program-Full Day,School ,0.5,Community Services,,,17663.4673,,,Child Care Program,
254721,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,Primary Center,,Instructional Resource & Media Services,,,-0.35,,,Title I- Part A,
72882,Employee Allowance,Special Education,,TRAVEL,,Speech Therapist,School ,,Instruction,,,256.2159176,,,General Fund,
61856,Subs for Support Personnel,Undistributed,,,,General,Substitute,,Instruction,,,137900.5608,,,General Fund,
372448,Equipment Maintenance Repairs,Basic Educational Services,,,,Orchestra,School ,,Instruction,,,899.32,,,General Fund,
279489,Employee Allowance,Undistributed,,TRAVEL,,General,Human Resources,,General Administration,,,1035.282692,,,General Fund,
304546,Professional Salaries,Basic Educational Services,,T-HS HEALTH,,General,School ,0.83,Instruction,,,43587.10465,,,General Fund,
145483,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,2999.73,,,General Fund,
14738,Reproduction Services,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1000.73,,,General Fund,
3022,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,-0.67,,,General Fund,
287701,Professional Salaries,Undistributed,,COORD- SES,,General,State/Federal Compliance & Accountability,0.25,Instructional Leadership,,,21436.80977,,,General Fund,
260661,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3277.335353,,,General Fund,
300234,General Supplies,Undistributed,,,,Debate Speech,School ,,Cocurricular & Extra Curricular Activities,,,505.36,,,General Fund,
121827,Employee Allowance,Special Education,,,,General,Special Education AH/VH,,Curriculum & Instructional Staff Development,,,-0.57,,,General Fund,
97167,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1639.437677,,,General Fund,
345586,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,-0.04,,,General Fund,
195997,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.625,Food Services,,,16339.55405,,,Nat'l Schl Breakfast & Lunch Prog.,
74276,Food/Refreshment,Accelerated Education,,,,Distributed from departments,State/Federal Compliance & Accountability,,Instructional Leadership,,,999.87,,,Title I- Part A,
124370,Extra Duty/Signing Bonus Pay,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,2025.923808,,,General Fund,
33373,General Supplies,Athletics and Related,,,,Boys Track,School ,,Cocurricular & Extra Curricular Activities,,,2099.76,,,Athletics,
286697,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,INSTR/CURR SPEC,,General,School ,0.5,Instruction,,,28014.2609,,,Title I- Part A,
390024,Reproduction Services,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,5439.95,,,Title I- Part A,
188630,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,Early Childhood Center,,Food Services,,,92.4,,,Nat'l Schl Breakfast & Lunch Prog.,
274166,Extra Duty/Overtime,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Community Services,,,0.44,,,General Fund,
56800,Professional Salaries,Accelerated Education,,T-HS ENGLISH,,General,School ,1,Instruction,,,74657.37671,,,General Fund,
353966,Professional Salaries,Undistributed,,ELEM ASST PRIN,,General,School ,0.92,School Leadership,,,61837.42258,,,General Fund,
361323,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,0.49,,,General Fund,
241801,Employee Allowance,Special Education,,TRAVEL,,Physical Education,School ,,Instruction,,,2153.856767,,,General Fund,
180337,Extra Duty/Signing Bonus Pay,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,6534.614756,,,General Fund,
215986,Substitute Teachers,Undistributed,,CLERICAL SUB,,General,Substitute,,School Leadership,,,9134.72,,,General Fund,
98927,Salaries for Support Personnel,Undistributed,,PEST CTRL TECH,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,45295.77612,,,General Fund,
76980,Salaries for Support Personnel,Prekindergarten,,TCHR ASST,,General,Pre-K Center,1,Instruction,,,32998.68964,,,,
337417,Employee Allowance,Basic Educational Services,,,,General,School ,,Instruction,,,0.59,,,General Fund,
259076,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,3550.96,,,General Fund,
74527,Professional Salaries,Special Education,,T-MS/SE INCLUS,,General,School ,1,Instruction,,,54787.42833,,,General Fund,
377897,Substitute Teachers,Special Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.34,,,General Fund,
442784,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,31812.03045,,,General Fund,
256666,Employee Allowance,Undistributed,,TRAVEL,,General,Office of Program Evaluation,,"Guidance, Counseling and Evaluation Services",,,1258.156056,,,General Fund,
426525,Salaries for Support Personnel,Undistributed,,ACCTG TECH I,,General,School ,1,School Leadership,,,41402.23706,,,General Fund,
261915,Professional Salaries,Accelerated Education,,T-HS VETP,,Delta,Program ABC,1,Instruction,,,52515.0062,,,General Fund,
390572,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,15565.93051,,,General Fund,
202231,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Network Support,,Data Processing Services,,,524.6008565,,,General Fund,
43844,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,58928.84955,,,General Fund,
81650,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.5625,Food Services,,,13894.30634,,,Nat'l Schl Breakfast & Lunch Prog.,
