,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
343523,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310345,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,108.6279385,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
347834,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Visual Impaired,,,,,0.2,,,BLIND ,13689.87,SPECIAL EDUCATION CATEGORY IV,General Fund,
243532,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,State Ed. Allotment,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,NON DEGREED SUBSTITUTE,175.3979741,Disciplinary Alternative Education Program - Daep Basic Serv,General Operating Fund,REGULAR PAY
313916,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Gifted,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,GIFTED AND TALENTED,STATE AND LOCAL GDPG FUND,"Teacher, Elementary ",n/a,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,,PROFESSIONAL-INSTRUCTIONAL,291.17072,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
390841,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0,,,TIME CARD CERTIFIEDAddl,145.99,Instruction - Regular,General Purpose School,
153242,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, SUMMER PROGRAM       ",,,,School ,0.009292747,BASIC (FEFP K-12)             ,,,518.744681,,GENERAL FUND                  ,LOCAL ALLOC SAI               
442081,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.54,Instruction,All Campus Payroll,TEACHER BACHELOR,33220.99611,Basic Educational Services,General Operating Fund,REGULAR PAY
154810,School Administration,Leadership,School Reported,School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY NON-INSTRUCTION,,,"TEACHER ASSISTANT, VE         ",,,,School ,,BASIC (FEFP K-12)             ,,,41.06,,GENERAL FUND                  ,LOCAL ALLOC SAI               
386619,Teacher Compensation,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Training And Recruiting,"TEACHER, BILINGUAL EDUCATION",,,Extra Duty Wages,School ,,Curriculum Development And Instructional Staff Dev,Instruction And Curriculum,TEACHER BACHELOR,1042.043501,Accelerated Education,Esea Title Ii Part A Teacher & Principal Training,MISCELLANEOUS 
351572,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Teacher Secondary (Middle) ,Regular,,,,0.003375262,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,170.6743153,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
109431,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Middle School,,,,,1,,,MS ENGLISH ,75595.13,MIDDLE SCHOOL PROGRAM  6-8,General Fund,
200664,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,0.0434916,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,3981.012145,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
171665,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,87.32398707,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
32229,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""",COMPUTER TECHNOLOGY SPECIALIST,,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1564.333964,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
404874,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Alternative,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,29.29,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
207098,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SPEECH & LANGUAGE,GENERAL FUND,Occupational Therapist ,n/a,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,,PROFESSIONAL-INSTRUCTIONAL,966.42,SPECIAL EDUCATION-OT,,SPECIAL EDUCATION
168035,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,OTHER PROFESSIONAL SERVICES,BOND EXPENDITURES,BUILDING FUND,(blank),Charter,,,CHARTER SCHOOL,,LL  GOB,,UNDESIGNATED,2899.64,SITE IMPROVEMENT SERVICES,,SITE IMPROVEMENT SERVICES
365347,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instruction,,,0,,,Career Ladder I/Ext Learning,1167.35,Instruction - Regular,General Purpose School,
253473,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Accountant ,n/a,,,BUDGETARY SERVICES,,NON-PROJECT,,UNDESIGNATED,-77.68,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
211636,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,State Ed. Allotment,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,149.491978,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
436905,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Management Services,,Sport Oriented Activities,,,,Professional And Technical Services *,,,Mixed Sports *,,,661.29,,General,CITY:  EXTRA ACT/SCHOOLS
188868,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,RENTALS                       ,,,,,,,School ,,MAINTENANCE OF PLANT          ,WAREHOUSE & GROUNDS           ,,285.37,,GENERAL FUND                  ,
325874,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1195.735804,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",MISCELLANEOUS 
186643,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Regular Instruction,"TCHR, K-8 MIDDLE (GR 6-8)",,,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1,Elementary,,,104247.6591,,General,SCHOOL BASED MANAGEMENT
378493,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EMPLOYEE BENEFITS,UNASSIGNED PERS/PAID LEAVES,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,,STAFF SERVICES,,CENTRAL
254561,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,2.35,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
15812,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,PARA PROFESSIONAL             ,,,"TEACHER ASSISTANT, MAINSTREAM ",,,,School ,0,EXCEPTIONAL                   ,,,-959.28,,GENERAL FUND                  ,
220806,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,General Assignment ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-14.09,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
360473,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Librarian Elem ",Regular,,,,,TARGETED INTERVENTIONS,,PROFESSIONAL-INSTRUCTIONAL,1608.06,SCHOOL LIBRARY SERVICES,,INSTRUCTIONAL STAFF
287709,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,,,,,,,School ,,BASIC (FEFP K-12)             ,,,9123.71,,GENERAL FUND                  ,LOCAL ALLOC SAI               
348429,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,CURRICULUM RESOURCE TEACHER   ,,,,School ,,INST & CURRICULUM DEV SVCS    ,,,841.01,,GENERAL FUND                  ,SCHOOL RECOGNITION            
113839,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION, MECHANICS, REG",,transportation - mechanics,Extra Duty Pay/Overtime For Support Personnel,Undistributed,,Transportation,Transportation Department,GENERAL WORKER ,565.28,Undistributed,General Operating Fund,OVERTIME
306976,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,"TEACHER, SECOND               ",,,,School ,,BASIC (FEFP K-12)             ,,,1294.68,,GENERAL FUND                  ,SCHOOL RECOGNITION            
420291,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,"TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,156.5281952,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED DAYS
122456,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,CUSTODIAL AND MAINTENANCE,CUSTODIAL SERVICES,LOCAL,,,,,,,,,SUPPLIES AND MATERIALS,8488.33,NON-INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,
393846,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,Community School Instructor ,Regular,,,,0.016814657, CNTRY COMMTY LRNG - ,,PARAPROFESSIONAL,491.6966256,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
421145,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instruction,,,0,,,Career Ladder I/Ext Learning,1166.59,Instruction - Regular,General Purpose School,
37188,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,CUSTODIAN REGULAR,,,Extra Duty Pay/Overtime For Support Personnel,School ,,Facilities Maintenance And Operations,Custodial Department,HEAD CUS MIDDLE SCHOOL ,4103.38,Undistributed,General Operating Fund,OVERTIME
396482,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Special Education,TA,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,MEDICAID,DISTRICT SPECIAL REVENUE FUNDS,Secondary Spec Ed Para ,n/a,,,SPECIAL EDUCATION,,MEDICAID,,PARAPROFESSIONAL,492.99,SPECIAL EDUCATION,,SPECIAL EDUCATION
156191,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary ",Regular,,,,,ELPA - PRESCHOOL PROG,,PROFESSIONAL-INSTRUCTIONAL,138.91,EARLY CHILDHOOD,,REGULAR INSTRUCTION
157035,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Poverty,Nurse,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,SCHOOL HEALTH ED/NURSE        ,,,,STUDENT SERVICES              ,0.076668858,HEALTH SERVICES               ,,,4318.727131,,FED THRU STATE-CASH ADVANCE   ,TITLE X HOMELESS CHDRN & YOUTH
42174,Food Services,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,"Specialist II, PC Apps ",n/a,,,FOOD AND NUTRITION SERVICES,,NON-PROJECT,,PROFESSIONAL-OTHER,1414.78016,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
89526,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,,,Regular Instruction,,,,General Supplies *,,,High School,,,-314.51,,Special Trust,FOUNDATION
330194,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,ELA Reading & Writing Para ,Regular,,,,,TARGETED INTERVENTIONS,,PARAPROFESSIONAL,97.52,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
145992,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,ATHLETICS,PUPIL ACTIVITY FUND,Misc Fee Basis ,n/a,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,2919.374,MALE ATHLETICS/SPORTS ACTIVITI,,COCURRICULAR ED/ACTIVITIES
68679,Library & Media,Instruction,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,LEVY OVERRIDE,School Technology Spec III ,Regular,,,,,CREDIT RECOVERY,,PROFESSIONAL-OTHER,335.33,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
49461,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Super Sub D/D ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-16.18,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
270481,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,BASIC (FEFP K-12)             ,,,58.34,,GENERAL FUND                  ,
346152,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Short Term Sub ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,52.78,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
346285,Curriculum Development,NO_LABEL,School Reported,School,NO_LABEL,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Department Chair Supp,,,GRADE LEVEL/DEPT CHA,,,,,,,,,1830.09,,,
354833,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,Speech Lang Pathology Asst ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-OTHER,502.86864,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
235068,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Special Need/Pre-K,,,,,0.5,,,PRE-K SPEECH (SLP),41069.8,SPECIAL EDUCATION CATEGORY II,General Fund,
299852,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,198.71,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
326672,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,ELL,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,COMMUNICATIONS OFFICE,GENERAL FUND,Spanish Lng Prof Exam Spec ,n/a,,,PUBLIC INFORMATION AND SERVICE,0.25,STATE ELPA (ENG LANG PROF ACT),,OFFICE/ADMINISTRATIVE SUPPORT,12876.01854,PUBLIC COMMUNICATIONS SERVICES,,CENTRAL
43606,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,5667.405165,Basic Educational Services,General Operating Fund,REGULAR PAY
254209,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,INST STAFF TRAINING SVCS      ,,,304.82,,GENERAL FUND                  ,
94770,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0,,,TIME CARD CERTIFIEDAddl,145.97,Instruction - Regular,General Purpose School,
437602,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0,,TEACHER SUPPLY,TIME CARD CERTIFIEDAddl,3069.13,Instruction - Regular,General Purpose School,
329750,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Other,Travel & Conferences,Non PreK,PreK-12 Operating,Employee Allowances,,Operations,CURRICULUM & INSTRUCTION DEPT.,,Undistributed,Travel Allowances,Undistributed,,Instructional Leadership,Instructional Curriculum,FINANCIAL AIDE SPECIALIST,1150.58,Undistributed,General Operating Fund,TRAVEL
89966,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,PARA PROFESSIONAL             ,,,TEACHER ASSISTANT-TITLE I-ELEM,,,,School ,0.5,BASIC (FEFP K-12)             ,,,8887.615543,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
194384,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Coaching Supplement,,,SOFTBALL ASSISTANT C,,,,,,,,,-3700.386667,,,
417589,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,5083.48,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
267570,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Rent/Utilities,Non PreK,PreK-12 Operating,Postage,,Support Services - Instructional Staff,,,,Communications *,,,Instruction And Curriculum Development Services *,,,-773.33,,Special Trust,TRANS MGT OFFICE
45170,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0,,,SUBSTITUTE TEACHER,71.28,Instruction - Regular,General Purpose School,
234996,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Route Scheduler II ,n/a,,,TRANSPORTATION,,EMPLOYEE RETIREMENT,,UNDESIGNATED,534.99,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
432012,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,8581.53,Misc,General Fund,
205560,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Instruction And Curriculum Development Services *,,,6945.28,,Special Trust,ITEMS FOUNDATION-JULY 
17114,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER SCIENCE (GRADE ,,Regular Instruction,,,1,,,RETIREE TIMECARD,1604.42,Instruction - Regular,General Purpose School,
172083,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,PREVENTION AND INTERVENTION,STATE AND LOCAL GDPG FUND,SFPC Liaison Specialist ,n/a,,,ADMISSIONS AND STUDENT RECORDS,,EXPELLED AT RISK,,PROFESSIONAL-OTHER,503.84,OTHER GENERAL EDUCATION,,REGULAR INSTRUCTION
289491,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,ITEMGG-INFO SYSTEMS TECHNOLOGY, MILL LEVY,"Manager, Database Sys Admn ",n/a,,,IST - SYSTEMS SUPPORT,,MILL LEVY MAINTENANCE,,PROFESSIONAL-OTHER,503.88,INFORMATION SYSTEMS SERVICES,,CENTRAL
267135,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.00862069,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,257.5699699,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
202453,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0,,,SUBSTITUTE TEACHER,141.58,Instruction - Regular,General Purpose School,
295309,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,CUSTODIAL SERVICES,LOCAL,CUSTODIAN FOREMAN,,,,,1,,,,59108.78305,,,
120832,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",n/a,,,TEACHER LEARNING & LEADERSHIP,,TITLE II-PART A-TEACHER QUALIT,,PROFESSIONAL-INSTRUCTIONAL,247.16088,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
377850,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,SEVERE DISABILITIES,GENERAL FUND,Secondary Spec Ed Para ,Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PARAPROFESSIONAL,126.49,SPECIAL EDUCATION,,SPECIAL EDUCATION
405143,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, BILINGUAL EDUCATION",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1459.658585,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,EXTENDED YEAR
220501,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Substitute,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,EARLY EDUCATION,FEDERAL GDPG FUND - FY ,"Teacher, Long Term Sub Elem ",n/a,,,EARLY CHILDHOOD EDUCATION,,EARLY READING FIRST,,PROFESSIONAL-INSTRUCTIONAL,65.18,EARLY CHILDHOOD,,REGULAR INSTRUCTION
